not enough args for isData
19-Oct-2021 12:05:38 CDT  Initiating request to open file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
19-Oct-2021 12:05:39 CDT  Successfully opened file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
Begin processing the 1st record. Run 1, Event 4, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.054 CDT
Begin processing the 2nd record. Run 1, Event 2, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.098 CDT
Begin processing the 3rd record. Run 1, Event 3, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.123 CDT
Begin processing the 4th record. Run 1, Event 5, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.155 CDT
Begin processing the 5th record. Run 1, Event 1, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.171 CDT
Begin processing the 6th record. Run 1, Event 7, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.211 CDT
Begin processing the 7th record. Run 1, Event 9, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.237 CDT
Begin processing the 8th record. Run 1, Event 8, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.260 CDT
Begin processing the 9th record. Run 1, Event 10, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.287 CDT
Begin processing the 10th record. Run 1, Event 13, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.316 CDT
Begin processing the 11th record. Run 1, Event 11, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.337 CDT
Begin processing the 12th record. Run 1, Event 12, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.362 CDT
Begin processing the 13th record. Run 1, Event 14, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.389 CDT
Begin processing the 14th record. Run 1, Event 16, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.420 CDT
Begin processing the 15th record. Run 1, Event 15, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.447 CDT
Begin processing the 16th record. Run 1, Event 6, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.478 CDT
Begin processing the 17th record. Run 1, Event 18, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.520 CDT
Begin processing the 18th record. Run 1, Event 17, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.548 CDT
Begin processing the 19th record. Run 1, Event 19, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.579 CDT
Begin processing the 20th record. Run 1, Event 21, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:42.612 CDT
